place,activity_type,activity,activity_description,full_activity
belarus,Unique Experiences,Stalin Line Museum, This open-air museum near Minsk allows visitors to explore military installations and view a diverse collection of military equipment,Unique Experiences - Stalin Line Museum -  This open-air museum near Minsk allows visitors to explore military installations and view a diverse collection of military equipment
northwest territories,Aurora Borealis (Northern Lights),Yellowknife," Known as one of the best places in the world to view the Aurora Borealis, Yellowknife offers clear skies and numerous viewing tours that provide an unforgettable spectacle, especially between mid-November and early April","Aurora Borealis (Northern Lights) - Yellowknife -  Known as one of the best places in the world to view the Aurora Borealis, Yellowknife offers clear skies and numerous viewing tours that provide an unforgettable spectacle, especially between mid-November and early April"
northwest territories,National Parks,Nahanni National Park Reserve," A UNESCO World Heritage site, Nahanni is famous for the stunning Virginia Falls, nearly twice the height of Niagara Falls, and offers canoeing, kayaking, and rugged hiking opportunities through its breathtaking landscapes","National Parks - Nahanni National Park Reserve -  A UNESCO World Heritage site, Nahanni is famous for the stunning Virginia Falls, nearly twice the height of Niagara Falls, and offers canoeing, kayaking, and rugged hiking opportunities through its breathtaking landscapes"
northwest territories,Wildlife Viewing,Mackenzie Bison Sanctuary," Just an hour outside of Yellowknife, this sanctuary allows visitors to see the majestic wood bison in their natural habitat","Wildlife Viewing - Mackenzie Bison Sanctuary -  Just an hour outside of Yellowknife, this sanctuary allows visitors to see the majestic wood bison in their natural habitat"
northwest territories,Cultural Experiences,Dene Villages, Visit local communities to learn about Indigenous cultures and traditions,Cultural Experiences - Dene Villages -  Visit local communities to learn about Indigenous cultures and traditions
northwest territories,Water Activities,Great Slave Lake," The deepest lake in North America is perfect for fishing, boating, and even ice fishing in winter","Water Activities - Great Slave Lake -  The deepest lake in North America is perfect for fishing, boating, and even ice fishing in winter"
northwest territories,Unique Natural Features,Ice Roads," Drive on the famous ice roads that connect remote communities in winter, offering a unique and thrilling driving experience","Unique Natural Features - Ice Roads -  Drive on the famous ice roads that connect remote communities in winter, offering a unique and thrilling driving experience"
northwest territories,Hiking and Trekking,Cameron Falls," A relatively easy hike from the Ingraham Trail leads to the picturesque Cameron Falls, providing stunning views especially in the fall and winter seasons","Hiking and Trekking - Cameron Falls -  A relatively easy hike from the Ingraham Trail leads to the picturesque Cameron Falls, providing stunning views especially in the fall and winter seasons"
northwest territories,Winter Sports,Dog Sledding, Experience the thrill of mushing through snowy landscapes with experienced guides,Winter Sports - Dog Sledding -  Experience the thrill of mushing through snowy landscapes with experienced guides
northwest territories,Scenic Flights,Charter Flights," Various operators offer scenic flights over breathtaking landscapes, including Nahanni National Park, providing a bird's eye view of the region’s natural wonders","Scenic Flights - Charter Flights -  Various operators offer scenic flights over breathtaking landscapes, including Nahanni National Park, providing a bird's eye view of the region’s natural wonders"
pennsylvania,Historical Attractions,Philadelphia," Step back in time by visiting Independence Hall, the Liberty Bell, and the Philadelphia Museum of Art","Historical Attractions - Philadelphia -  Step back in time by visiting Independence Hall, the Liberty Bell, and the Philadelphia Museum of Art"
pennsylvania,Natural Wonders and Outdoor Activities,Pocono Mountains," Known for its year-round activities, the Poconos offer hiking, fishing, and boating in the summer, as well as skiing, snowboarding, and snow tubing during the winter","Natural Wonders and Outdoor Activities - Pocono Mountains -  Known for its year-round activities, the Poconos offer hiking, fishing, and boating in the summer, as well as skiing, snowboarding, and snow tubing during the winter"
pennsylvania,Cultural and Arts Scene,Pittsburgh," Home to the Pittsburgh Steelers and rich in cultural activities, visitors can explore the Andy Warhol Museum, the Phipps Conservatory, and enjoy a performance at the Benedum Center","Cultural and Arts Scene - Pittsburgh -  Home to the Pittsburgh Steelers and rich in cultural activities, visitors can explore the Andy Warhol Museum, the Phipps Conservatory, and enjoy a performance at the Benedum Center"
pennsylvania,Amusement Parks,Hersheypark," Ideal for families, this famous amusement park offers a thrilling array of rides, a water park, and, of course, an immersive chocolate-themed experience","Amusement Parks - Hersheypark -  Ideal for families, this famous amusement park offers a thrilling array of rides, a water park, and, of course, an immersive chocolate-themed experience"
pennsylvania,Scenic Drives and Covered Bridges,Brandywine Valley," Known for its picturesque landscapes, take a scenic drive through this area to see the Longwood Gardens, wineries, and historic estates","Scenic Drives and Covered Bridges - Brandywine Valley -  Known for its picturesque landscapes, take a scenic drive through this area to see the Longwood Gardens, wineries, and historic estates"
pennsylvania,Educational and Interactive Attractions,The Franklin Institute," Located in Philadelphia, this renowned science museum offers interactive exhibits, a planetarium, and the fascinating Benjamin Franklin National Memorial","Educational and Interactive Attractions - The Franklin Institute -  Located in Philadelphia, this renowned science museum offers interactive exhibits, a planetarium, and the fascinating Benjamin Franklin National Memorial"
british columbia,Outdoor Adventures,Whistler," Known globally for its world-class ski slopes, Whistler Blackcomb is also a year-round adventure hub offering hiking, mountain biking, and zip-lining in the warmer months","Outdoor Adventures - Whistler -  Known globally for its world-class ski slopes, Whistler Blackcomb is also a year-round adventure hub offering hiking, mountain biking, and zip-lining in the warmer months"
british columbia,Spectacular Scenic Drives,Sea-to-Sky Highway," This scenic drive from Vancouver to Whistler offers breathtaking views of mountains, forests, and the Howe Sound","Spectacular Scenic Drives - Sea-to-Sky Highway -  This scenic drive from Vancouver to Whistler offers breathtaking views of mountains, forests, and the Howe Sound"
british columbia,Urban Exploration,Vancouver, This bustling city combines urban sophistication with natural beauty,Urban Exploration - Vancouver -  This bustling city combines urban sophistication with natural beauty
british columbia,Wildlife Watching,Great Bear Rainforest," One of the largest intact temperate rainforests in the world, it’s a prime spot for seeing grizzly bears, black bears, and the rare white Kermode bear (spirit bear)","Wildlife Watching - Great Bear Rainforest -  One of the largest intact temperate rainforests in the world, it’s a prime spot for seeing grizzly bears, black bears, and the rare white Kermode bear (spirit bear)"
british columbia,Cultural Experiences,Indigenous Heritage," Experience the rich indigenous culture by visiting places like the Museum of Anthropology at UBC, and taking part in guided tours and cultural experiences offered by First Nations communities","Cultural Experiences - Indigenous Heritage -  Experience the rich indigenous culture by visiting places like the Museum of Anthropology at UBC, and taking part in guided tours and cultural experiences offered by First Nations communities"
british columbia,Hot Springs and Relaxation,Harrison Hot Springs," Just a short drive from Vancouver, this resort town offers rejuvenating hot springs and a scenic lake perfect for water activities","Hot Springs and Relaxation - Harrison Hot Springs -  Just a short drive from Vancouver, this resort town offers rejuvenating hot springs and a scenic lake perfect for water activities"
